index,text,happinness,sadness,Soledad,Ilusión,Ensoñación,Grandiosidad ,Orgullo,Irritabilidad,Ansiedad,Ira,Inestabilidad,Idealización,Depresión ,Desilusión,Aversión ,Inseguridad,Impotencia,Vulnerabilidad,Temor,Obsesión,Compulsión,Prejuicio,Dramatización,valence,arousal,anger,fear,disgust,concreteness,imageability,context availability
10,"Porque dejaste el mundo de dolores
buscando en otro cielo la alegría
que aquí, si nace, sólo dura un día
y eso entre sombras, dudas y temores.

Porque en pos de otro mundo y otras flores
abandonaste esta región sombría,
donde tu alma gigante se sentía
condenada a continuos sinsabores.

Yo te vengo a decir mi enhorabuena
al mandarte la eterna despedida
que de dolor el corazón me llena;

que aunque cruel y muy triste tu partida,
si la vida a los goces es ajena
mejor es el sepulcro que la vida.

",2,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,3,2.0,1.0,1.0,1.0,1.0,1.0,1.0
11,"Templa su fuego el sol bajo el nublado;
las nieblas rompen sus tupidos velos
y desciende la lluvia, y arroyuelos
de límpido cristal recoge el prado.

Pájaro amante, insecto enamorado,
sienten, última vez, ardientes celos;
marchan la golondrina y sus polluelos:
se adorna el bosque de matiz dorado.

¡Ya está aquí! El mar levanta sus espumas
y acres perfumes a la tierra envía...
¿Quién no le ama? Entre rosadas brumas,

coronado de mirtos y laureles,
viene dando a las vides ambrosía,
vertiendo frutas, regalando mieles!

",1,2.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,4,2.0,1.0,1.0,1.0,4.0,3.0,3.0
12,"¿Es dormir sin ensueños y en la hundida
fosa quedar en eternal reposo?
O ¿es despertar del sueño pavoroso
que el hombre llama, en sus delirios, vida?

La obra del alma ¿quedará perdida,
deshecha, en el abismo tenebroso?
O ¿tendrá su empezar esplendoroso
cuando sintamos la postrera herida?

¡Qué importa lo que fuere! Si es el sueño
sin ensueño, el no ser, dormir sin tasa...
¡Es posible lograr mayor ventura!

Y si es el despertar del triste ensueño
del vivir terrenal, que al alma abrasa...
¡Hay dicha más gloriosa y más segura!

",1,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,3,2.0,1.0,1.0,1.0,3.0,2.0,3.0
13,"Piedra, que serás polvo deleznable,
pues todo al paso de los años muere,
mi pensamiento en su amargura quiere
fundirse en lo que guardas implacable.

Alcanza en lo infinito y no le es dable
darse a la muerte si el dolor le hiere,
que el pensamiento en su amargura adquiere
una fuerza vital imponderable.

En los abismos de la muerte hundido
está mi padre, luz del alma mía,
y aún más allá del polvo y del olvido.

Más allá de mi noche eterna y fría
concibo su recuerdo bendecido
y la esperanza de encontrarle un día.

",1,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,2.0,1.0,3.0,2.0,3.0,2.0,2.0
14,"Fue novio Juan de la sin par María,
y en el largo trajín de sus amores,
todos fueron ensueños seductores
y proyectos de bienes y alegría.

Llegó el plazo, o mejor, el fausto día
como dan en nombrarle los autores,
de encadenar a entrambos amadores,
en eternal unión, la Vicaría.

¡Qué gran luna de miel! ¡Qué desatino
de amantes! pero al mes quiso el demonio
que echara cada cual por su camino.

Y al preguntar por qué, me dijo Antonio:
-«Como el vinagre se engendró del vino
así el amor se tuerce en matrimonio».

",1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,4,2.0,1.0,1.0,2.0,1.0,1.0,1.0
15,"Donde jamás el sol sus rayos tira
y todo es confusión eternamente,
vive aquel, que con hambre y sed ardiente
cerca el remedio, sin remedio, mira.

Fruta le ofrece y a cogerla aspira;
mas ella de su mano diligente,
se burla, y de sus labios la corriente
al Eridano hondo se retira.

Di que admiras de Tántalo la pena,
y género tan grave de tormento
tu asombro advierta, porque más te asombre

que cuanto escuchas en la historia ajena
por ti se dice, disfrazado el nombre.
¡Oh, pobre en tus riquezas avariento!

",1,2.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0,0,1.0,0.0,0.0,0.0,0.0,1.0,2,2.0,1.0,1.0,2.0,4.0,4.0,4.0
16,"Perfecto Libro, que a la Estampa ha dado
bien entendido Autor, eres confieso,
al Encarnarte, advierto estás impreso,
como al Nacer al mundo, a luz sacado.

En la Circuncisión, fuiste cortado,
y al adorarte Reyes miro expreso,
sabios, te leen Rey, Dios Hombre, y esto
tu Autor, con una Estrella ha señalado.

Haciendo huyas a Egipto, hizo cubrirte,
para en Jerusalén, después mostrarte
tres días a sus Doctos, y aplaudirte:

A una Columna, quiso rubricarte,
y si en la Cruz, el Título inscribirte,
en el monte Tabor; iluminarte.

",1,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,4,1.0,1.0,1.0,1.0,4.0,3.0,3.0
17,"Al verte pobre ya, de amor inmundo,
y del divino amo, enriquecida,
bienes del mundo, Magdalena olvida,
porque es del mundo el bien, mal sin segundo.

En lo que logra del amar del mundo,
de lágrimas un mar, que arrepentida,
anegando los yerros de su vida,
de doloroso llanto, es mar profundo.

Las plantas riega con amante anhelo,
del que en su voluntad, todo se encierra,
¡o mil veces feliz, raro desvelo!

El modo natural en ti se yerra,
que siempre le agua da a la Tierra, el Cielo,
y hoy al Cielo le da el agua, la Tierra.

",1,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0,0,1.0,1.0,0.0,0.0,0.0,0.0,4,2.0,1.0,1.0,2.0,3.0,3.0,3.0
18,"Raro Fénix de Amor, que en vivas llamas,
esplendor inmortal tienes logrado,
leños de aroma son, los que has juntado
en olor de virtudes que derramas.

Alta Hoguera te eriges, que así amas
afectos recogiendo enamorado,
que el Pecho, en sacro amor, todo abrasado,
hoguera es elevada, en que te inflamas.

A rayos del Sol Cristo, Ave lucida,
del corazón las alas, velozmente
bates, por verte en fuego renacida.

Fénix te considero, en Pira ardiente,
que él en su muerte nace a nueva vida,
y es tu Ocaso en la Tierra, al Cielo, Oriente.

",1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,4,1.0,1.0,1.0,1.0,4.0,4.0,4.0
19,"Elcino, el buen pastor, con la manada huraña
de cabras, paso a paso, cruzó el valle florido;
vibró en los aires puros su peculiar silbido,
y al oírle siguiéronle, camino a la montaña.

Al oír un lejano cantar de pipitaña
recordó la tragedia de su amor sin olvido;
requirió de sus hombros el rabel, y mordido
por la pena, llamó su tierna musa extraña.

En mitad de su música miró que amanecía:
Toda, toda la noche, su canto suprahumano
relató en la montaña su enorme desconsuelo...

Quebró Elcino el rabel con su larga armonía,
y cuando la postrera cuerda rompió su mano,
tras la última nota su alma voló al cielo.

",1,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0,0,1.0,0.0,0.0,1.0,0.0,0.0,2,2.0,1.0,1.0,1.0,3.0,2.0,2.0
20,"Lentamente, la hastiada marquesa envejecida
abre el cofre de ébano de las cartas antiguas,
y al mirarlas recuerda mil pasiones exiguas
que en lejanos minutos le encendieron la vida.

Suspirando, lee cartas de los hombres que un día
por su causa alojáronse una bala en la frente;
y no ocultan sus ojos el orgullo que siente
viendo el trágico libro de su historia sombría.

Dice: «¡Oh, aquel monarca, que en romántico exceso
me daba su reinado, tan sólo por un beso...!»
«¡Oh, aquel conde Learnes, que murió en la querella...!»

Cierra el cofre que guarda lo que llama su gloria,
y, cruelmente orgullosa, repasa en su memoria,
uno a uno, los hombres que murieron por ella.

",2,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,2,4.0,1.0,1.0,2.0,1.0,1.0,1.0
21,"Flor de catorce pétalos reidores,
hoguera de catorce llamaradas;
ancha panoplia de catorce espadas
y nidal de catorce ruiseñores.

Tal el soneto donde mis amores
yo vos dijera en músicas aladas,
cuyas letras dejasen inflamadas
vuestros ojos, en vivos resplandores.

Soneto, en vuestras manos, flor abierta;
soneto que alegrase vuestro oído,
como nidal colgado en vuestra puerta;

soneto, hoguera de mi amor secreto;
para dejar a mi rival tendido,
espada vengadora, mi soneto.

",1,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,4,3.0,2.0,1.0,1.0,1.0,1.0,1.0
22,"La dolencia del alma a nadie mata,
mas le hace agonizar su gran presión...
Cuando el dolor el corazón maltrata,
se escapa por los ojos su aflicción.

Mas la pena que el llanto nos desata
no aminora el ardor del corazón;
sus fibras moja y con rencor dilata
para acopiar más cruel desolación.

¡Ay, pobre del que en hora maldecida
siente el amor y es del amor proscrito!
¡Le huye la muerte, mas también la vida!

Vive para probar que no es un mito
que, si el hombre se inflama sin medida,
¡su dolor sin amor, será infinito!

",1,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1,1,1.0,1.0,1.0,0.0,0.0,1.0,2,3.0,1.0,1.0,2.0,1.0,1.0,1.0
23,"Era como la nieve, iba vestida
de blanco, de candor y de nobleza;
llevaba alrededor de su cabeza,
corona virginal de flor tejida;

manto azul como el cielo donde anida;
velo blanco de angélica pureza...
Así la contemplé con gran tristeza
cual si estuviera allí sólo dormida.

Así la vi, la veo todavía
por el bancal que para mí verdea,
junto al fresco rodar del arroyuelo...

La veo en fosca noche o claro día,
y la hermosa visión que me rodea,
endulza mi dolor, sin dar consuelo.

",1,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,1,1.0,0.0,1.0,1.0,0.0,0.0,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0
24,"¡Ay dolor, ya me oprimes demasiado!
¡ay dolor, ya no puedo soportarte!
las fuerzas sin medir salí a esperarte
y mis fuerzas las tuyas han gastado.

Pensé luchar con ánimo menguado
frente a frente contigo y humillarte
¡temeraria ilusión! de parte a parte
tu garra el corazón me ha traspasado.

Va desolada el alma, de vencida
huyendo temeraria el escarmiento
que victorioso tú con ella hicieras...

Huye dolor o arráncame la vida;
mas en vano suplico y me lamento,
que si mataras tú dolor no fueras.

",1,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,2,3.0,1.0,2.0,2.0,1.0,1.0,1.0
25,"No aceches cauteloso y traicionero:
ya sentí tu pisar en pos del mío,
ya tu aliento aspiré morboso y frío,
no te escondas dolor que ya te espero.

Me he parado a esperarte en el sendero;
yo te conozco ya y en ti confío,
cuando no vienes tú viene le hastío,
y entre el hastío y tú, yo te prefiero.

¡Cuántas veces el alma desolada
presintió tu venida y cuántas veces
sintió después tu sorda dentellada!

Al sabor de la copa que me ofreces
hace tiempo que el alma está avezada:
tráela, pues, que la apure hasta las heces.

",1,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,2,3.0,1.0,1.0,1.0,1.0,1.0,1.0
26,"En turbios días de borrascas duras,
cuando el mar encrespando sus melenas
deja las costas de blancores llenas,
negro el ambiente y el abismo a oscuras,

del cantil por las hondas cortaduras,
entre escollos que muerden las arenas,
voy contando lo amargo de mis penas
al mar que tanto sabe de amarguras.

Crencha espumante que el Noroeste riza
el aire al escalar se pulveriza
y en mansa lluvia sobre mí descarga:

¡tan amarga es la pena que me abruma
que al rozar en mis labios esa espuma
la comparo a mi mal y no me amarga.

",1,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,2,3.0,1.0,1.0,1.0,2.0,1.0,1.0
27,"Nublose el sol de la esperanza mía
que siempre tuvo resplandor escaso,
sin llegar a las cumbres del Ocaso,
la linde al trasponer el mediodía.

Al escalar la pedregosa vía
menguó mi aliento y vacilo mi paso;
y tuve sed y la sacié en tu vaso
¡musa del Septentrión, Melancolía!

Agotado en los medios del camino
en plena juventud, voy peregrino
desalentado, vacilante y ciego.

Nublose el sol de la esperanza mía...
¿No habrá una estrella que me preste guía
en este mar de sombra en que me anego?

",1,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1,0,1.0,1.0,0.0,0.0,0.0,1.0,2,2.0,1.0,2.0,1.0,4.0,2.0,2.0
28,"De púrpura vestida ha madrugado
con presunción de sol la rosa bella,
siendo sólo una luz, purpúrea huella
del matutino pie de astro nevado.

Más y más se enrojece con cuidado
de brillar más que la encendió su estrella,
y esto la eclipsa, sin ser ya centella
que golfo de la luz inundó al prado.

¿No te bastaba, oh rosa, tu hermosura?
Pague eclipsada, pues, tu gentileza
el mendigarle al sol la llama pura;

y escarmienta la humana en tu belleza,
que si el nativo resplandor se apura,
la que luz deslumbró para en pavesa.

",1,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,3,1.0,1.0,1.0,2.0,4.0,3.0,3.0
29,"En catre de esmeraldas nace altiva
la bella rosa, vanidad de Flora,
y cuanto en perlas le bebió a la aurora
cobra en rubís del sol la luz altiva.

De nacarado incendio es llama viva
que al prado ilustra en fe de que la adora;
la luz la enciende, el sol sus hojas dora
con bello nácar de que al fin la priva.

Rosas, escarmentad: no presurosas
anheléis a este ardor, que si autoriza,
aniquila también el sol, ¡oh rosas!

Naced y vivir lentas; no en la prisa
os confundáis, floridas mariposas,
que es anhelar arder, buscar ceniza.

",1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,4,1.0,1.0,1.0,1.0,4.0,4.0,4.0
30,"No tienes ya del tiempo malogrado
en el prolijo afán de tus pasiones,
sino una sombra, envuelta en confusiones,
que imprime en tu memoria tu pecado.

Pasó el deleite, el tiempo arrebatado
aun su imagen borró; las desazones
de tu inquieta conciencia son pensiones
que has de pagar perpetuas al cuidado.

Mas si al tiempo dejó para tu daño
su huella errante, y sombras al olvido
del que fue gusto y hoy te sobresalta,

para el futuro estudia el desengaño
en la imagen del tiempo que has vivido,
que ella dirá lo poco que te falta.

",1,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0,1.0,0.0,0.0,0.0,0.0,3,3.0,1.0,2.0,1.0,3.0,2.0,2.0
31,"Yo lo soñé impetuoso, formidable y ardiente;
hablaba el impreciso leguaje del torrente;
era un mar desbordado de locura y de fuego,
rodando por la vida como un eterno riego.

Luego soñélo triste, como un gran sol poniente
que dobla ante la noche la cabeza de fuego;
después rió, y en su boca tan tierna como un ruego,
sonaba sus cristales el alma de la fuente.

Y hoy sueño que es vibrante, y suave, y riente, y triste,
que todas las tinieblas y todo el iris viste;
que, frágil como un ídolo y eterno como un Dios,

sobre la vida toda su majestad levante:
y el beso cae ardiente a perfumar su planta
en una flor de fuego deshojada por dos...

",1,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0.0,1.0,0.0,1.0,0.0,0.0,4,3.0,1.0,1.0,1.0,4.0,3.0,4.0
32,"Íbamos en la tarde que caía
rápidamente sobre los caminos.
Su belleza, algo exótica, ponía
aspavientos en ojos campesinos.

-Gozaremos el libro- me decía
de tus epigramáticos y finos
versos. En el crepúsculo moría
un desfile de pájaros marinos...

Debajo de nosotros, la espesura
aprisionaba en forma de herradura
la población. Y de un charco amarillo

surgió la luna de color de argento,
y a lo lejos, con un recogimiento
sentimental, lloraba un caramillo...

",1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,4,1.0,1.0,1.0,1.0,4.0,4.0,4.0
33,"En el silencio siento pasar hora tras hora,
como un cortejo lento, acompasado y frío...
¡Ah! Cuando tú estás lejos, mi vida toda llora,
y al rumor de tus pasos hasta en sueños sonrío.

Yo sé que volverás. que brillará otra aurora
en mi horizonte, grave como un ceño sombrío;
revivirá en mis bosques tu gran risa sonora
que los cruzaba alegre como el cristal de un río.

Un día, al encontrarnos tristes en el camino,
yo puse entre tus manos pálidas mi destino
¡y nada de más grande jamás han de ofrecerte!

Mi alma es frente a tu alma como el mar frente al cielo:
pasarán entre ellas, tal la sombra de un vuelo,
¡la Tormenta y el Tiempo y la Vida y la Muerte!

",2,3.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,3,2.0,1.0,2.0,1.0,2.0,1.0,1.0
34,"Hoy desde el gran camino, bajo el sol claro y fuerte,
muda como una lágrima he mirado hacia atrás.
Y tu voz, de mi lejos, con un olor de muerte,
vino a aullarme al oído un triste «¡Nunca más!»

Tan triste, que he llorado hasta quedar inerte...
¡Yo sé que estás tan lejos que nunca volverás!
No hay lágrimas que laven los besos de la Muerte...
Almas, hermanas mías, nunca miréis atrás!

Los pasados se cierran como los ataúdes;
al otoño las hojas en dorados aludes
ruedan... y arde en los troncos la nueva floración...

Las noches son caminos negros de las auroras...
Oyendo deshojarse tristemente las horas
dulces, hablemos de otras flores al corazón.

",2,4.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1.0,0.0,0.0,0.0,0.0,0.0,2,2.0,1.0,2.0,1.0,2.0,1.0,1.0
35,"¿Te acuerdas? El arroyo fue la serpiente buena...
Fluía triste y triste como un llanto de ciego,
cuando en las piedras grises donde arraiga la pena,
como un inmenso lirio se levantó tu ruego.

Mi corazón, la piedra más gris y más serena,
despertó en la caricia de la corriente y luego
sintió como la tarde, con manos de agarena,
prendía sobre él una rosa de fuego.

Y mientras la serpiente del arroyo blandía
el veneno divino de la melancolía,
tocada de crepúsculo me abrumó tu cabeza,

la coroné de un beso fatal, en la corriente
vi pasar un cadáver de fuego... Y locamente
me derrumbó en tu abrazo profundo la tristeza.

",1,2.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0,0,1.0,1.0,0.0,0.0,0.0,0.0,2,2.0,1.0,1.0,2.0,4.0,4.0,4.0
36,"Amor, la noche estaba trágica y sollozante
cuando tu llave de oro cantó en mi cerradura;
luego, la puerta abierta sobre la sombra helante,
tu sombra fue una mancha de luz y de blancura.

Todo aquí lo alumbraron tus ojos de diamante;
bebieron en mi copa tus labios de frescura,
y descansó en mi almohada tu cabeza fragante;
me encantó tu descaro y adoré tu locura.

Y hoy río si tu ríes, y canto si tú cantas;
y si tú duermes, duermo como un perro a tus plantas.
Hoy llevo hasta en mi sombra tu olor de primavera;

y tiemblo si tu mano toca la cerradura,
¡y bendigo la noche sollozante y oscura
que floreció en mi vida tu boca tempranera!

",4,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,4,3.0,1.0,1.0,1.0,1.0,1.0,1.0
